_terms1,_terms2,count
AE,US,73
AE,IT,62
AE,JP,25
AE,CN,23
AE,CA,19
AE,DE,16
AE,GB,14
AE,ZA,12
AE,KR,12
AE,AR,10
AE,EC,10
AE,AE,9
AE,CO,8
AE,RU,8
AE,CH,8
AE,IN,6
AE,AU,6
AE,PL,6
AE,IE,6
AE,PE,6
AE,NO,6
AE,MX,5
AE,ES,5
AE,FR,5
AE,DK,4
AE,TR,4
AE,FI,4
AE,SE,3
AE,AT,3
AE,NL,2
AE,CL,2
AE,PR,2
AR,US,54
AR,IT,48
AR,CA,26
AR,RU,24
AR,CN,20
AR,JP,16
AR,AR,10
AR,DE,9
AR,NO,9
AR,CH,7
AR,IN,7
AR,ZA,7
AR,AU,7
AR,PL,5
AR,AT,4
AR,SE,4
AT,CA,31
AT,AT,29
AT,PL,19
AT,CH,16
AT,CN,14
AT,US,9
AU,IT,112
AU,US,77
AU,JP,37
AU,CN,33
AU,AU,29
AU,RU,28
AU,CA,28
AU,PL,19
AU,GB,19
AU,CH,16
AU,DE,16
AU,AR,15
AU,AT,12
AU,ZA,11
AU,KR,8
AU,IN,8
AU,SE,7
AU,EC,6
AU,CL,5
AU,CO,4
AU,DK,4
AU,AE,3
AU,ES,3
AU,IE,3
AU,FR,3
AU,NO,2
AU,TR,2
AU,MX,1
AU,PE,1
AU,NL,1
AU,PR,1
AU,FI,1
CA,IT,98
CA,US,93
CA,CN,83
CA,CA,73
CA,CH,51
CA,RU,32
CA,JP,31
CA,AU,22
CA,AT,17
CA,GB,14
CA,SE,14
CA,PL,13
CA,IN,12
CA,NO,11
CA,ZA,11
CA,DE,10
CA,EC,9
CA,KR,6
CA,AR,6
CA,PR,3
CA,MX,3
CA,CO,2
CA,FI,1
CH,CH,144
CL,IT,18
CL,US,16
CL,GB,13
CL,CA,10
CL,JP,9
CL,AU,7
CL,DE,6
CL,KR,6
CL,EC,5
CL,CN,5
CL,RU,5
CL,MX,4
CL,ZA,4
CL,FI,4
CL,AR,4
CL,IN,3
CL,PL,3
CL,CO,3
CL,AT,2
CL,CH,2
CL,PE,2
CL,SE,2
